round,loss,accuracy,alpha0,method,repetition
55,0.82168,0.74125,0.5,fedasync,10
56,1.06382,0.675,0.5,fedasync,10
57,0.80103,0.76,0.5,fedasync,10
58,1.19643,0.68375,0.5,fedasync,10
59,1.30902,0.6625,0.5,fedasync,10
60,0.7547,0.76375,0.5,fedasync,10
61,0.82069,0.7325,0.5,fedasync,10
62,0.94135,0.73625,0.5,fedasync,10
63,1.48111,0.6825,0.5,fedasync,10
64,1.9284,0.635,0.5,fedasync,10
65,1.02186,0.74125,0.5,fedasync,10
66,0.81412,0.755,0.5,fedasync,10
67,1.21598,0.66375,0.5,fedasync,10
68,0.96789,0.73625,0.5,fedasync,10
69,1.45036,0.64875,0.5,fedasync,10
70,0.87049,0.7425,0.5,fedasync,10
71,0.89686,0.7475,0.5,fedasync,10
72,0.85561,0.7575,0.5,fedasync,10
73,0.62738,0.8025,0.5,fedasync,10
74,1.18643,0.705,0.5,fedasync,10
75,0.91423,0.745,0.5,fedasync,10
76,1.04509,0.7225,0.5,fedasync,10
77,1.25528,0.685,0.5,fedasync,10
78,1.09895,0.70875,0.5,fedasync,10
79,1.58513,0.64375,0.5,fedasync,10
80,0.83888,0.75625,0.5,fedasync,10
81,1.27642,0.69625,0.5,fedasync,10
82,1.6283,0.6475,0.5,fedasync,10
83,0.83259,0.7625,0.5,fedasync,10
84,0.94663,0.7375,0.5,fedasync,10
85,0.82557,0.77,0.5,fedasync,10
86,0.67934,0.7975,0.5,fedasync,10
87,1.13038,0.715,0.5,fedasync,10
88,0.96225,0.74125,0.5,fedasync,10
89,1.31311,0.69875,0.5,fedasync,10
90,1.18258,0.705,0.5,fedasync,10
91,1.46961,0.675,0.5,fedasync,10
92,0.92968,0.74875,0.5,fedasync,10
93,0.84213,0.75875,0.5,fedasync,10
94,0.93538,0.73875,0.5,fedasync,10
95,1.15427,0.725,0.5,fedasync,10
96,1.00191,0.73125,0.5,fedasync,10
97,0.89836,0.77125,0.5,fedasync,10
98,0.67693,0.8225,0.5,fedasync,10
99,0.96781,0.7425,0.5,fedasync,10
100,0.70508,0.79875,0.5,fedasync,10
101,0.69767,0.80375,0.5,fedasync,10
102,0.67449,0.82,0.5,fedasync,10
103,0.77564,0.7775,0.5,fedasync,10
104,0.65328,0.81875,0.5,fedasync,10
105,0.61171,0.82625,0.5,fedasync,10
106,0.76088,0.77875,0.5,fedasync,10
107,0.90701,0.76125,0.5,fedasync,10
108,1.29348,0.7025,0.5,fedasync,10
109,0.73371,0.815,0.5,fedasync,10
110,0.67276,0.81625,0.5,fedasync,10
111,0.83031,0.76125,0.5,fedasync,10
112,0.73576,0.80125,0.5,fedasync,10
113,1.10931,0.7275,0.5,fedasync,10
114,1.47223,0.68125,0.5,fedasync,10
115,1.06287,0.73625,0.5,fedasync,10
116,0.91343,0.7625,0.5,fedasync,10
117,1.21819,0.71625,0.5,fedasync,10
118,0.77791,0.78875,0.5,fedasync,10
119,0.75441,0.80875,0.5,fedasync,10
120,0.58709,0.83875,0.5,fedasync,10
121,0.63345,0.82375,0.5,fedasync,10
122,0.74841,0.80375,0.5,fedasync,10
123,0.76618,0.8025,0.5,fedasync,10
124,0.81704,0.785,0.5,fedasync,10
125,0.64918,0.83375,0.5,fedasync,10
126,0.68941,0.82375,0.5,fedasync,10
127,1.0444,0.7475,0.5,fedasync,10
128,0.80398,0.8075,0.5,fedasync,10
129,0.72691,0.8,0.5,fedasync,10
130,0.85262,0.78375,0.5,fedasync,10
131,0.81937,0.8,0.5,fedasync,10
132,0.73347,0.8225,0.5,fedasync,10
133,0.80617,0.805,0.5,fedasync,10
134,0.67514,0.83375,0.5,fedasync,10
135,0.61523,0.84375,0.5,fedasync,10
136,0.67744,0.82625,0.5,fedasync,10
137,0.72379,0.82875,0.5,fedasync,10
138,1.07404,0.76,0.5,fedasync,10
139,1.34846,0.7175,0.5,fedasync,10
140,1.05371,0.75125,0.5,fedasync,10
141,0.9483,0.785,0.5,fedasync,10
142,0.7745,0.805,0.5,fedasync,10
143,0.93295,0.7925,0.5,fedasync,10
144,0.71834,0.825,0.5,fedasync,10
145,0.70266,0.8325,0.5,fedasync,10
146,0.96388,0.7875,0.5,fedasync,10
147,0.9376,0.78125,0.5,fedasync,10
148,0.63319,0.84875,0.5,fedasync,10
149,1.00088,0.78125,0.5,fedasync,10
150,1.27785,0.7375,0.5,fedasync,10
1,4.94507,0.20875,0.9,fedasync,10
2,3.84835,0.19125,0.9,fedasync,10
3,4.0403,0.2125,0.9,fedasync,10
4,3.29446,0.30125,0.9,fedasync,10
5,3.79391,0.3025,0.9,fedasync,10
6,3.80711,0.315,0.9,fedasync,10
